{s=832250, t=IN, id=383}
{s=76816686, t=IN, id=130}
{s=76914556, t=OUT, id=101}
{s=77080549, t=OUT, id=412}
{s=77656346, t=IN, id=303}
{s=78270590, t=IN, id=16}
{s=78382920, t=IN, id=217}
{s=78857272, t=OUT, id=385}
{s=79100017, t=IN, id=343}
{s=79249255, t=OUT, id=245}
{s=79466671, t=IN, id=218}
{s=79693000, t=IN, id=290}
{s=79767705, t=IN, id=413}
{s=80596353, t=IN, id=114}
{s=81064579, t=OUT, id=88}
{s=81516789, t=IN, id=396}
{s=81535216, t=IN, id=147}
{s=81821095, t=OUT, id=408}
{s=81973362, t=OUT, id=413}
{s=81983720, t=IN, id=59}
{s=82704179, t=IN, id=152}
{s=82897405, t=IN, id=99}
{s=85189778, t=IN, id=349}
{s=85360417, t=IN, id=222}
{s=85577955, t=OUT, id=93}
{s=86258914, t=IN, id=15}
{s=86395615, t=IN, id=339}
{s=86773559, t=OUT, id=171}
{s=87091228, t=IN, id=340}
{s=87108177, t=IN, id=158}
{s=87474339, t=OUT, id=301}
{s=87572816, t=OUT, id=193}
{s=87878249, t=OUT, id=247}
{s=88403008, t=IN, id=137}
{s=88464196, t=OUT, id=377}
{s=88667945, t=IN, id=117}
{s=89049534, t=IN, id=50}
{s=89209404, t=OUT, id=290}
{s=89671498, t=OUT, id=75}
{s=89839244, t=OUT, id=399}
{s=90175604, t=IN, id=134}
{s=90403399, t=OUT, id=249}
{s=90425071, t=OUT, id=162}
{s=90536817, t=IN, id=195}
{s=90627601, t=IN, id=184}
{s=91941602, t=OUT, id=69}
{s=92132292, t=IN, id=53}
{s=92181561, t=IN, id=334}
{s=92201718, t=IN, id=259}
{s=92401090, t=OUT, id=114}
{s=92427117, t=IN, id=167}
{s=92531373, t=IN, id=60}
{s=92665479, t=IN, id=133}
{s=93002335, t=OUT, id=158}
{s=93055327, t=OUT, id=226}
{s=93530445, t=OUT, id=109}
{s=93889809, t=IN, id=258}
{s=94272855, t=OUT, id=186}
{s=94551612, t=OUT, id=161}
{s=94854068, t=IN, id=314}
{s=95306842, t=OUT, id=60}
{s=95664507, t=OUT, id=257}
{s=95804083, t=OUT, id=370}
{s=96731954, t=OUT, id=140}
{s=97108545, t=IN, id=155}
{s=97268841, t=OUT, id=358}
{s=97348314, t=IN, id=31}
{s=97368945, t=IN, id=389}
{s=97660699, t=IN, id=278}
{s=97731866, t=OUT, id=41}
{s=97869451, t=IN, id=286}
{s=98374089, t=OUT, id=320}
{s=98469817, t=IN, id=129}
{s=98609448, t=OUT, id=280}
{s=99055323, t=IN, id=76}
{s=99352441, t=IN, id=239}
{s=99369721, t=OUT, id=40}
{s=99551612, t=IN, id=71}
{s=99913984, t=OUT, id=16}
{s=100702011, t=IN, id=66}
{s=101675159, t=OUT, id=312}
{s=101951232, t=IN, id=55}
{s=102447896, t=IN, id=153}
{s=103020519, t=IN, id=83}
{s=103068238, t=IN, id=211}
{s=103266489, t=IN, id=228}
{s=103867098, t=OUT, id=147}
{s=104268749, t=IN, id=325}
{s=104374638, t=IN, id=128}
{s=104424791, t=IN, id=150}
{s=104955194, t=IN, id=112}
{s=104958739, t=IN, id=401}
{s=105111269, t=OUT, id=164}
{s=105119457, t=IN, id=73}
{s=105398168, t=OUT, id=343}
{s=105407588, t=IN, id=49}
{s=105519011, t=OUT, id=59}
{s=105535215, t=OUT, id=303}
{s=105814228, t=IN, id=199}
{s=105962641, t=IN, id=6}
{s=106502318, t=OUT, id=316}
{s=106762048, t=IN, id=365}
{s=106951704, t=OUT, id=95}
{s=106974146, t=OUT, id=209}
{s=107123272, t=OUT, id=128}
{s=107287119, t=IN, id=116}
{s=107561397, t=IN, id=21}
{s=107703324, t=IN, id=277}
{s=108024876, t=OUT, id=241}
{s=108233899, t=OUT, id=166}
{s=108378295, t=OUT, id=331}
{s=108482563, t=IN, id=215}
{s=108569140, t=IN, id=231}
{s=108594618, t=IN, id=90}
{s=108622147, t=OUT, id=266}
{s=108677465, t=OUT, id=98}
{s=108736391, t=OUT, id=285}
{s=109036298, t=OUT, id=325}
{s=109314472, t=OUT, id=8}
{s=109436510, t=IN, id=103}
{s=110123887, t=OUT, id=277}
{s=110407889, t=IN, id=246}
{s=110586916, t=IN, id=48}
{s=110664168, t=IN, id=295}
{s=111346682, t=IN, id=300}
{s=112057169, t=IN, id=54}
{s=112225707, t=IN, id=80}
{s=112514181, t=OUT, id=218}
{s=112552454, t=IN, id=200}
{s=114003354, t=IN, id=196}
{s=114838136, t=OUT, id=184}
{s=114876812, t=IN, id=110}
{s=114942205, t=IN, id=143}
{s=116239433, t=IN, id=362}
{s=116530508, t=OUT, id=228}
{s=116581414, t=IN, id=38}
{s=117638340, t=OUT, id=154}
{s=117770564, t=OUT, id=116}
{s=117855917, t=OUT, id=146}
{s=117933339, t=IN, id=274}
{s=118135819, t=IN, id=374}
{s=118572944, t=IN, id=322}
{s=118724977, t=IN, id=18}
{s=119441981, t=IN, id=406}
{s=119560917, t=IN, id=168}
{s=120119981, t=IN, id=234}
{s=120770556, t=IN, id=223}
{s=121006314, t=OUT, id=127}
{s=121373156, t=OUT, id=54}
{s=122006787, t=IN, id=264}
{s=122210870, t=OUT, id=49}
{s=122656509, t=OUT, id=400}
{s=122661232, t=OUT, id=76}
{s=124090502, t=IN, id=145}
{s=124091850, t=IN, id=262}
{s=124512229, t=OUT, id=334}
{s=124520016, t=IN, id=297}
{s=124582636, t=IN, id=7}
{s=124808756, t=OUT, id=139}
{s=124904531, t=IN, id=142}
{s=125017522, t=IN, id=138}
{s=125088773, t=OUT, id=360}
{s=125556088, t=OUT, id=347}
{s=125561720, t=IN, id=268}
{s=125710028, t=IN, id=157}
{s=125758347, t=IN, id=310}
{s=125787721, t=IN, id=68}
{s=125886550, t=IN, id=74}
{s=126503672, t=IN, id=28}
{s=126981254, t=OUT, id=276}
{s=127001908, t=IN, id=123}
{s=127010678, t=OUT, id=223}
{s=127082609, t=IN, id=338}
{s=128449418, t=OUT, id=258}
{s=128958886, t=OUT, id=392}
{s=129054363, t=OUT, id=225}
{s=129115125, t=OUT, id=256}
{s=129305665, t=IN, id=237}
{s=129349031, t=OUT, id=349}
{s=129452933, t=IN, id=294}
{s=130040530, t=OUT, id=136}
{s=130746601, t=OUT, id=115}
{s=130751948, t=OUT, id=70}
{s=130780379, t=OUT, id=37}
{s=130914738, t=OUT, id=99}
{s=130978724, t=IN, id=345}
{s=131030147, t=IN, id=198}
{s=131038219, t=IN, id=404}
{s=131492431, t=IN, id=243}
{s=132303104, t=IN, id=182}
{s=132840113, t=IN, id=197}
{s=133022330, t=OUT, id=53}
{s=133518322, t=IN, id=375}
{s=133842785, t=IN, id=236}
{s=134274333, t=IN, id=328}
{s=134474077, t=OUT, id=274}
{s=134474639, t=IN, id=125}
{s=134637008, t=IN, id=242}
{s=134762464, t=IN, id=207}
{s=135092498, t=IN, id=342}
{s=135124142, t=OUT, id=67}
{s=135170734, t=OUT, id=110}
{s=135315656, t=OUT, id=112}
{s=135662072, t=OUT, id=107}
{s=135761362, t=OUT, id=262}
{s=136142184, t=IN, id=17}
{s=136443785, t=OUT, id=6}
{s=136812172, t=OUT, id=294}
{s=136992974, t=OUT, id=38}
{s=137199922, t=OUT, id=48}
{s=137314121, t=OUT, id=410}
{s=137582819, t=IN, id=122}
{s=137769343, t=IN, id=3}
{s=138187188, t=IN, id=126}
{s=138567553, t=OUT, id=295}
{s=138593719, t=OUT, id=305}
{s=139084035, t=IN, id=221}
{s=139656725, t=OUT, id=129}
{s=140395701, t=OUT, id=126}
{s=140903493, t=OUT, id=157}
{s=140911703, t=OUT, id=332}
{s=141104244, t=IN, id=177}
{s=141137927, t=OUT, id=342}
{s=141229856, t=OUT, id=224}
{s=141700960, t=OUT, id=25}
{s=141786664, t=OUT, id=200}
{s=141919840, t=IN, id=44}
{s=142241047, t=IN, id=92}
{s=142373833, t=IN, id=106}
{s=142443893, t=OUT, id=242}
{s=142484611, t=OUT, id=106}
{s=142610122, t=IN, id=390}
{s=142648913, t=OUT, id=202}
{s=142660223, t=OUT, id=273}
{s=142725617, t=OUT, id=398}
{s=143170253, t=IN, id=386}
{s=143335197, t=OUT, id=363}
{s=143892541, t=IN, id=219}
{s=143919977, t=IN, id=56}
{s=144411181, t=IN, id=354}
{s=145071896, t=IN, id=341}
{s=145213120, t=OUT, id=255}
{s=145268591, t=IN, id=369}
{s=145429483, t=IN, id=323}
{s=146133660, t=IN, id=24}
{s=146460526, t=OUT, id=143}
{s=146613103, t=OUT, id=386}
{s=147056953, t=OUT, id=217}
{s=147517071, t=IN, id=141}
{s=147674707, t=IN, id=299}
{s=147749648, t=IN, id=329}
{s=148036724, t=OUT, id=79}
{s=148372609, t=IN, id=356}
{s=148575764, t=IN, id=191}
{s=148893593, t=IN, id=252}
{s=149333133, t=OUT, id=43}
{s=149679998, t=OUT, id=213}
{s=150285685, t=IN, id=327}
{s=150559903, t=IN, id=61}
{s=150765310, t=IN, id=33}
{s=150841838, t=IN, id=368}
{s=150873907, t=OUT, id=374}
{s=150911653, t=IN, id=313}
{s=150940697, t=IN, id=387}
{s=150958171, t=OUT, id=373}
{s=151568182, t=IN, id=367}
{s=151837375, t=OUT, id=221}
{s=151910408, t=IN, id=302}
{s=152306981, t=OUT, id=239}
{s=152310419, t=OUT, id=275}
{s=152729389, t=OUT, id=155}
{s=152751625, t=OUT, id=44}
{s=152819732, t=OUT, id=145}
{s=152919290, t=OUT, id=196}
{s=153095099, t=OUT, id=229}
{s=153311803, t=OUT, id=122}
{s=154107490, t=IN, id=113}
{s=154534618, t=OUT, id=352}
{s=154616318, t=IN, id=187}
{s=155010143, t=IN, id=183}
{s=155108910, t=IN, id=384}
{s=155157202, t=OUT, id=50}
{s=155375443, t=OUT, id=167}
{s=155753188, t=IN, id=318}
{s=155799661, t=IN, id=304}
{s=155831004, t=IN, id=159}
{s=156052742, t=OUT, id=28}
{s=156222801, t=OUT, id=284}
{s=156442122, t=IN, id=233}
{s=156701522, t=OUT, id=102}
{s=156767691, t=OUT, id=103}
{s=157037140, t=OUT, id=198}
{s=157047867, t=IN, id=62}
{s=157052137, t=IN, id=2}
{s=157112959, t=OUT, id=150}
{s=157303976, t=OUT, id=236}
{s=157766859, t=OUT, id=80}
{s=158240587, t=OUT, id=356}
{s=159302465, t=IN, id=212}
{s=159306831, t=IN, id=119}
{s=159338783, t=OUT, id=390}
{s=159361015, t=OUT, id=214}
{s=159369518, t=OUT, id=71}
{s=159692870, t=IN, id=175}
{s=159937135, t=OUT, id=318}
{s=160444482, t=IN, id=149}
{s=160544337, t=OUT, id=130}
{s=160871370, t=OUT, id=87}
{s=160966757, t=OUT, id=338}
{s=160969754, t=OUT, id=31}
{s=160994051, t=OUT, id=359}
{s=161304798, t=IN, id=151}
{s=161314069, t=OUT, id=248}
{s=161485114, t=OUT, id=168}
{s=161488571, t=OUT, id=191}
{s=161606548, t=IN, id=307}
{s=161739725, t=IN, id=240}
{s=161776647, t=OUT, id=406}
{s=161834765, t=IN, id=36}
{s=161846456, t=OUT, id=279}
{s=162020618, t=OUT, id=3}
{s=162094532, t=IN, id=27}
{s=162368190, t=IN, id=121}
{s=162387451, t=OUT, id=61}
{s=162521180, t=OUT, id=121}
{s=162555210, t=IN, id=23}
{s=162599895, t=OUT, id=19}
{s=162613397, t=OUT, id=117}
{s=162624613, t=IN, id=144}
{s=162733865, t=OUT, id=137}
{s=162839394, t=OUT, id=207}
{s=163026589, t=OUT, id=42}
{s=163326818, t=IN, id=52}
{s=163477979, t=IN, id=344}
{s=163822954, t=OUT, id=33}
{s=163933502, t=IN, id=173}
{s=164146084, t=IN, id=291}
{s=164159649, t=IN, id=14}
{s=164526888, t=OUT, id=297}
{s=164574558, t=OUT, id=323}
{s=164745258, t=IN, id=271}
{s=164810895, t=OUT, id=211}
{s=164827915, t=IN, id=188}
{s=165323687, t=IN, id=409}
{s=165390201, t=IN, id=104}
{s=165428134, t=IN, id=5}
{s=165924704, t=IN, id=30}
{s=165951145, t=OUT, id=238}
{s=166460858, t=OUT, id=175}
{s=167060570, t=IN, id=132}
{s=167105542, t=IN, id=378}
{s=167708160, t=OUT, id=234}
{s=167800089, t=IN, id=372}
{s=168237758, t=OUT, id=368}
{s=168424640, t=OUT, id=344}
{s=168452337, t=IN, id=47}
{s=168578625, t=IN, id=350}
{s=168790793, t=OUT, id=201}
{s=168881634, t=OUT, id=173}
{s=169138535, t=OUT, id=204}
{s=169310943, t=OUT, id=252}
{s=169709544, t=IN, id=251}
{s=170043992, t=OUT, id=182}
{s=170094039, t=OUT, id=160}
{s=170099980, t=OUT, id=271}
{s=170427463, t=OUT, id=361}
{s=170699496, t=OUT, id=354}
{s=170979350, t=OUT, id=336}
{s=171379435, t=IN, id=395}
{s=172008656, t=OUT, id=235}
{s=172009055, t=OUT, id=199}
{s=172032876, t=IN, id=298}
{s=172459980, t=OUT, id=310}
{s=172490801, t=OUT, id=263}
{s=172775293, t=OUT, id=219}
{s=172977533, t=OUT, id=317}
{s=173015713, t=IN, id=391}
{s=173187281, t=OUT, id=47}
{s=174083520, t=IN, id=32}
{s=174514202, t=OUT, id=27}
{s=175365158, t=OUT, id=188}
{s=175758064, t=IN, id=35}
{s=175958928, t=OUT, id=322}
{s=175968594, t=OUT, id=66}
{s=176041155, t=IN, id=272}
{s=176190284, t=IN, id=29}
{s=176212474, t=OUT, id=36}
{s=176325039, t=OUT, id=404}
{s=176355400, t=OUT, id=133}
{s=176370828, t=IN, id=227}
{s=176485090, t=OUT, id=396}
{s=176816009, t=OUT, id=72}
{s=176844373, t=OUT, id=387}
{s=176962419, t=IN, id=170}
{s=177153231, t=OUT, id=32}
{s=177164181, t=IN, id=315}
{s=177227596, t=IN, id=192}
{s=177627534, t=OUT, id=327}
{s=177901626, t=OUT, id=286}
{s=178274989, t=IN, id=205}
{s=178416764, t=OUT, id=381}
{s=178469617, t=IN, id=135}
{s=179034448, t=IN, id=97}
{s=179177802, t=OUT, id=62}
{s=179516690, t=OUT, id=237}
{s=179893088, t=IN, id=232}
{s=180025933, t=OUT, id=232}
{s=180176897, t=OUT, id=288}
{s=180203800, t=OUT, id=401}
{s=180217364, t=OUT, id=340}
{s=180596650, t=IN, id=283}
{s=180605977, t=IN, id=4}
{s=180643476, t=OUT, id=384}
{s=180855530, t=IN, id=306}
{s=180867160, t=OUT, id=123}
{s=180890899, t=OUT, id=29}
{s=180930271, t=OUT, id=14}
{s=181011692, t=IN, id=346}
{s=181036509, t=IN, id=220}
{s=181081630, t=OUT, id=159}
{s=181420512, t=IN, id=194}
{s=181454897, t=OUT, id=4}
{s=181833742, t=OUT, id=212}
{s=181862823, t=IN, id=379}
{s=181879298, t=OUT, id=52}
{s=182078329, t=OUT, id=346}
{s=182087626, t=OUT, id=169}
{s=182119731, t=OUT, id=233}
{s=182133307, t=OUT, id=83}
{s=182346591, t=OUT, id=119}
{s=182516807, t=OUT, id=328}
{s=182760153, t=OUT, id=251}
{s=182803159, t=IN, id=96}
{s=182856956, t=OUT, id=397}
{s=182869648, t=IN, id=230}
{s=182876830, t=OUT, id=302}
{s=183108471, t=OUT, id=197}
{s=183232339, t=OUT, id=138}
{s=183580689, t=OUT, id=283}
{s=183972561, t=OUT, id=299}
{s=184149075, t=OUT, id=135}
{s=184316765, t=OUT, id=379}
{s=184692329, t=OUT, id=307}
{s=184909918, t=OUT, id=56}
{s=185088853, t=OUT, id=97}
{s=185345730, t=OUT, id=92}
{s=185636136, t=IN, id=163}
{s=185642785, t=OUT, id=73}
{s=185665234, t=OUT, id=144}
{s=185953916, t=IN, id=357}
{s=186093057, t=OUT, id=306}
{s=186192642, t=IN, id=402}
{s=186259472, t=OUT, id=163}
{s=186291438, t=OUT, id=378}
{s=186339495, t=IN, id=267}
{s=186728792, t=IN, id=124}
{s=186746792, t=OUT, id=195}
{s=186806161, t=IN, id=180}
{s=187272878, t=OUT, id=170}
{s=187775135, t=OUT, id=142}
{s=187952230, t=OUT, id=298}
{s=187974531, t=OUT, id=339}
{s=188037234, t=IN, id=333}
{s=188055501, t=IN, id=337}
{s=188235048, t=IN, id=287}
{s=188252338, t=OUT, id=246}
{s=188298667, t=IN, id=89}
{s=188325594, t=OUT, id=35}
{s=188359364, t=OUT, id=350}
{s=188641472, t=IN, id=376}
{s=188687844, t=OUT, id=74}
{s=188708020, t=IN, id=85}
{s=188780185, t=OUT, id=141}
{s=188807859, t=OUT, id=2}
{s=189153776, t=OUT, id=124}
{s=189171713, t=IN, id=156}
{s=189310040, t=OUT, id=21}
{s=189314298, t=IN, id=311}
{s=189381361, t=OUT, id=264}
{s=189751501, t=OUT, id=409}
{s=190628505, t=OUT, id=272}
{s=190649335, t=OUT, id=367}
{s=190658678, t=IN, id=330}
{s=190808268, t=OUT, id=187}
{s=191015678, t=IN, id=20}
{s=191059286, t=IN, id=189}
{s=191205873, t=OUT, id=113}
{s=191216462, t=IN, id=105}
{s=191315033, t=OUT, id=341}
{s=191416437, t=IN, id=63}
{s=191559976, t=IN, id=206}
{s=191785294, t=OUT, id=108}
{s=191954761, t=IN, id=366}
{s=192010398, t=OUT, id=23}
{s=192052476, t=OUT, id=324}
{s=192078293, t=IN, id=46}
{s=192096188, t=OUT, id=348}
{s=192118188, t=IN, id=13}
{s=192157152, t=OUT, id=5}
{s=192334858, t=OUT, id=96}
{s=192646506, t=OUT, id=15}
{s=192747629, t=OUT, id=362}
{s=192842933, t=IN, id=260}
{s=192851812, t=IN, id=388}
{s=193288442, t=OUT, id=189}
{s=193329646, t=OUT, id=391}
{s=193448268, t=IN, id=353}
{s=193535420, t=OUT, id=333}
{s=193583640, t=IN, id=319}
{s=193645991, t=OUT, id=153}
{s=193653012, t=OUT, id=326}
{s=193816843, t=OUT, id=403}
{s=193919682, t=IN, id=382}
{s=194003146, t=OUT, id=231}
{s=194380317, t=OUT, id=376}
{s=194540676, t=OUT, id=34}
{s=194557565, t=OUT, id=319}
{s=194864470, t=IN, id=371}
{s=194958920, t=OUT, id=313}
{s=195163738, t=OUT, id=311}
{s=195289148, t=IN, id=208}
{s=195525234, t=OUT, id=26}
{s=195791051, t=OUT, id=371}
{s=195841509, t=IN, id=261}
{s=196004313, t=IN, id=58}
{s=196095395, t=IN, id=282}
{s=196271076, t=OUT, id=63}
{s=196337221, t=OUT, id=291}
{s=196403227, t=OUT, id=7}
{s=196676256, t=OUT, id=300}
{s=196722691, t=IN, id=405}
{s=196887283, t=OUT, id=210}
{s=197159839, t=IN, id=77}
{s=197224369, t=OUT, id=335}
{s=197324410, t=OUT, id=364}
{s=197741461, t=OUT, id=149}
{s=197758509, t=IN, id=254}
{s=197937840, t=OUT, id=77}
{s=198298242, t=OUT, id=58}
{s=198410479, t=OUT, id=282}
{s=198444816, t=OUT, id=68}
{s=198592957, t=OUT, id=230}
{s=198772144, t=OUT, id=46}
{s=198772309, t=OUT, id=105}
{s=199107840, t=IN, id=281}
{s=199115403, t=OUT, id=382}
{s=199135014, t=OUT, id=156}
{s=199159801, t=IN, id=308}
{s=199279611, t=OUT, id=222}
{s=199307361, t=IN, id=250}
{s=199320354, t=OUT, id=64}
{s=199577808, t=OUT, id=365}
{s=199579001, t=IN, id=181}
{s=199581357, t=OUT, id=152}
{s=199654161, t=IN, id=203}
{s=199790735, t=OUT, id=345}
{s=199793225, t=OUT, id=287}
{s=199821425, t=OUT, id=366}
{s=199860209, t=IN, id=78}
{s=200427308, t=OUT, id=104}
{s=200611930, t=OUT, id=90}
{s=200752319, t=OUT, id=215}
{s=200936643, t=OUT, id=254}
{s=200984535, t=OUT, id=208}
{s=201196811, t=IN, id=185}
{s=201215385, t=OUT, id=315}
{s=201221366, t=OUT, id=194}
{s=201334191, t=OUT, id=30}
{s=201550714, t=OUT, id=330}
{s=201627240, t=OUT, id=18}
{s=201714034, t=IN, id=111}
{s=201755695, t=OUT, id=185}
{s=201886023, t=OUT, id=357}
{s=201886883, t=OUT, id=375}
{s=202246147, t=IN, id=12}
{s=202338218, t=OUT, id=405}
{s=202485015, t=OUT, id=181}
{s=202651692, t=OUT, id=151}
{s=202666737, t=IN, id=178}
{s=202687029, t=IN, id=292}
{s=202705958, t=OUT, id=308}
{s=202728577, t=OUT, id=132}
{s=202771333, t=OUT, id=369}
{s=202840188, t=IN, id=176}
{s=202951367, t=OUT, id=395}
{s=202985095, t=OUT, id=17}
{s=203355442, t=OUT, id=267}
{s=203369744, t=OUT, id=268}
{s=203402483, t=OUT, id=192}
{s=203446472, t=OUT, id=177}
{s=203464030, t=IN, id=1}
{s=203540832, t=OUT, id=176}
{s=203548609, t=OUT, id=85}
{s=203801533, t=IN, id=179}
{s=203964055, t=OUT, id=174}
{s=204057357, t=OUT, id=190}
{s=204125944, t=OUT, id=55}
{s=204130945, t=OUT, id=24}
{s=204136435, t=OUT, id=125}
{s=204241247, t=OUT, id=134}
{s=204280567, t=OUT, id=388}
{s=204290066, t=OUT, id=259}
{s=204332807, t=OUT, id=243}
{s=204345575, t=IN, id=11}
{s=204741126, t=OUT, id=389}
{s=204835512, t=IN, id=22}
{s=204883996, t=OUT, id=1}
{s=204905210, t=IN, id=100}
{s=204985651, t=OUT, id=78}
{s=205190440, t=OUT, id=353}
{s=205295235, t=IN, id=289}
{s=205448792, t=OUT, id=220}
{s=205675047, t=OUT, id=180}
{s=205814972, t=OUT, id=183}
{s=205831153, t=OUT, id=304}
{s=205916198, t=OUT, id=13}
{s=205926605, t=OUT, id=89}
{s=205929850, t=OUT, id=205}
{s=205935436, t=OUT, id=292}
{s=206059703, t=OUT, id=20}
{s=206114923, t=OUT, id=314}
{s=206187945, t=OUT, id=240}
{s=206290677, t=OUT, id=206}
{s=206311750, t=OUT, id=227}
{s=206535995, t=IN, id=380}
{s=206567640, t=OUT, id=261}
{s=206619802, t=OUT, id=203}
{s=206654344, t=OUT, id=250}
{s=206739516, t=OUT, id=402}
